,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
1853,2013-09-15,Georgia,Snellville,4630 Anderson Livsey Lane,3,1,33.7709,-84.05,4,"4630 Anderson Livsey Lane, Snellville, Georgia",September,9
1852,2013-09-15,Washington,Yakima,2209 W Nob Hill Blvd,0,6,46.5854,-120.538,6,"2209 W Nob Hill Blvd, Yakima, Washington",September,9
1851,2013-09-16,District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,38.873,-76.9977,14,"1336 Isaac Hull Ave, Washington Navy Yard, District of Columbia",September,9
1850,2013-09-17,California,Stockton,700 block of North Airport Way,2,3,37.9625,-121.276,5,"700 block of North Airport Way, Stockton, California",September,9
1849,2013-09-17,Michigan,Lansing,1500 block of Ottawa Street,0,4,42.7349,-84.573,4,"1500 block of Ottawa Street, Lansing, Michigan",September,9
1848,2013-09-17,Nevada,Las Vegas,1300 block of Bartlett Avenue,0,4,36.2003,-115.159,4,"1300 block of Bartlett Avenue, Las Vegas, Nevada",September,9
1847,2013-09-17,Florida,Kissimmee,Flying Fortress Avenue,0,5,28.3107,-81.4488,5,"Flying Fortress Avenue, Kissimmee, Florida",September,9
1846,2013-09-18,Tennessee,Memphis,1033 Whitaker,1,4,35.0411,-90.0292,5,"1033 Whitaker, Memphis, Tennessee",September,9
1845,2013-09-19,Illinois,Chicago,1809 W 50th St,0,12,41.803,-87.6699,12,"1809 W 50th St, Chicago, Illinois",September,9
1844,2013-09-20,California,Long Beach,6500 block of Rose Avenue,2,2,33.8728,-118.171,4,"6500 block of Rose Avenue, Long Beach, California",September,9
1843,2013-09-20,Texas,Rice,700 block of NW 0149,5,0,32.2337,-96.4661,5,"700 block of NW 0149, Rice, Texas",September,9
1842,2013-09-21,Florida,Palm Beach,2600 block of Forest Hill Boulevard,0,4,26.6552,-80.062,4,"2600 block of Forest Hill Boulevard, Palm Beach, Florida",September,9
1841,2013-09-22,Missouri,Saint Louis,3916 North Florissant Road,1,3,38.662,-90.2062,4,"3916 North Florissant Road, Saint Louis, Missouri",September,9
1840,2013-09-22,Michigan,Muskegon,149 Ottawa Ave,2,4,43.2489,-86.2368,6,"149 Ottawa Ave, Muskegon, Michigan",September,9
1839,2013-09-22,Kansas,Wichita,100 block of N. Mead,1,6,37.6861,-97.3288,7,"100 block of N. Mead, Wichita, Kansas",September,9
1838,2013-09-24,West Virginia,Huntington,300 W 7th Ave,0,6,38.4136,-82.4609,6,"300 W 7th Ave, Huntington, West Virginia",September,9
1837,2013-09-25,North Carolina,Haw River,1003 W. Main St,0,4,36.0934,-79.3526,4,"1003 W. Main St, Haw River, North Carolina",September,9
1836,2013-09-27,Ohio,Zanesville,753 Putnam Ave,0,4,39.9272,-82.0073,4,"753 Putnam Ave, Zanesville, Ohio",September,9
1835,2013-09-29,Illinois,Chicago,6000 block of South Indiana Avenue,0,4,41.7854,-87.6209,4,"6000 block of South Indiana Avenue, Chicago, Illinois",September,9
1834,2013-10-02,Nebraska,Omaha,North 42nd and Browne streets,0,4,41.305,-95.9758,4,"North 42nd and Browne streets, Omaha, Nebraska",October,10
1833,2013-10-05,California,Fresno,3883 E. Calwa #114,1,12,36.7054,-119.76,13,"3883 E. Calwa #114, Fresno, California",October,10
1832,2013-10-05,New York,Buffalo,102 Zelmer Street,0,4,42.9114,-78.8075,4,"102 Zelmer Street, Buffalo, New York",October,10
1831,2013-10-06,Arizona,Avondale,11120 W Van Buren St,0,4,33.451,-112.301,4,"11120 W Van Buren St, Avondale, Arizona",October,10
1830,2013-10-06,Pennsylvania,Philadelphia,54th St. and Florence Ave,1,5,39.943,-75.2268,6,"54th St. and Florence Ave, Philadelphia, Pennsylvania",October,10
1829,2013-10-09,Texas,Paris,400 block of NE 6th Street,4,0,33.6652,-95.5505,4,"400 block of NE 6th Street, Paris, Texas",October,10
1828,2013-10-12,Oklahoma,Tulsa,12000 E 31st St,0,5,36.1189,-95.8429,5,"12000 E 31st St, Tulsa, Oklahoma",October,10
1827,2013-10-13,Pennsylvania,Harrisburg,1524 Walnut St,0,8,40.2692,-76.8681,8,"1524 Walnut St, Harrisburg, Pennsylvania",October,10
1826,2013-10-20,Florida,Margate,7400 block of Santa Monica Drive,0,4,26.2503,-80.2237,4,"7400 block of Santa Monica Drive, Margate, Florida",October,10
1825,2013-10-20,Florida,Miami,19600 block of Southwest 168th Street,2,2,25.6087,-80.5096,4,"19600 block of Southwest 168th Street, Miami, Florida",October,10
1824,2013-10-21,Pennsylvania,Pittsburgh (Homewood),7200 block of Kelly Street,2,5,40.4555,-79.897,7,"7200 block of Kelly Street, Pittsburgh (Homewood), Pennsylvania",October,10
1823,2013-10-26,Connecticut,New Haven,85 Saint John St,1,5,41.3067,-72.9118,6,"85 Saint John St, New Haven, Connecticut",October,10
1822,2013-10-26,Florida,Miami Gardens,NW 187 Street and 30 Avenue,0,4,25.9443,-80.2519,4,"NW 187 Street and 30 Avenue, Miami Gardens, Florida",October,10
1821,2013-10-26,Arizona,Phoenix,17th Avenue and Hazelwood Street,5,0,33.5042,-112.096,5,"17th Avenue and Hazelwood Street, Phoenix, Arizona",October,10
1820,2013-10-27,Texas,Beaumont,500 block of Edgemore Drive,0,4,30.0716,-94.1485,4,"500 block of Edgemore Drive, Beaumont, Texas",October,10
1819,2013-10-27,California,Roseville,6th Street and Hampton,0,4,38.7354,-121.226,4,"6th Street and Hampton, Roseville, California",October,10
1818,2013-10-27,North Carolina,Southern Pines,115 Turner St,1,4,35.163,-79.4233,5,"115 Turner St, Southern Pines, North Carolina",October,10
1817,2013-10-27,California,Vallejo,200 block of Princeton Avenue,1,6,38.1517,-122.25,7,"200 block of Princeton Avenue, Vallejo, California",October,10
1816,2013-10-29,South Carolina,Bradley (Callison),Callison Highway,5,0,33.9881,-82.2888,5,"Callison Highway, Bradley (Callison), South Carolina",October,10
1815,2013-11-02,Kentucky,Radcliff,355 Shelby Avenue,1,3,37.8133,-85.9224,4,"355 Shelby Avenue, Radcliff, Kentucky",November,11
1814,2013-11-03,California,Los Angeles,1 World Way,1,3,33.9454,-118.399,4,"1 World Way, Los Angeles, California",November,11
1813,2013-11-03,California,Perris,2900 block of Perris Boulevard,0,5,33.8249,-117.227,5,"2900 block of Perris Boulevard, Perris, California",November,11
1812,2013-11-05,District of Columbia,Washington,3900 block of Minnesota Ave,0,4,38.8934,-76.9508,4,"3900 block of Minnesota Ave, Washington, District of Columbia",November,11
1811,2013-11-05,Florida,Jacksonville,1100 block of Randolph,4,0,30.3068,-81.7298,4,"1100 block of Randolph, Jacksonville, Florida",November,11
1810,2013-11-07,Michigan,Detroit,Conley and 7 Mile,3,7,42.4334,-83.0523,10,"Conley and 7 Mile, Detroit, Michigan",November,11
1809,2013-11-09,Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,29.884,-95.7187,18,"7300 block of Enchanted Creek Drive, Cypress, Texas",November,11
1808,2013-11-10,Ohio,Canton,1215 Tuscarawas St W,1,3,40.8007,-81.3868,4,"1215 Tuscarawas St W, Canton, Ohio",November,11
1807,2013-11-10,Arizona,Phoenix,5800 South 53rd Glen,1,3,33.3933,-112.174,4,"5800 South 53rd Glen, Phoenix, Arizona",November,11
1806,2013-11-11,New York,Brooklyn,318 Maujer St,4,1,40.7122,-73.9359,5,"318 Maujer St, Brooklyn, New York",November,11
1805,2013-11-15,Texas,Houston,4400 block of Tiffany,1,3,29.6168,-95.4428,4,"4400 block of Tiffany, Houston, Texas",November,11
1804,2013-11-20,Texas,Houston,8200 block of Sunbury,3,2,29.8222,-95.2761,5,"8200 block of Sunbury, Houston, Texas",November,11
1803,2013-11-21,Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,39.9728,-75.2399,4,"1400 block of N. 60th Street, Philadelphia, Pennsylvania",November,11
1802,2013-11-23,Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,36.1771,-95.9403,5,"Pine Street and Harvard Avenue, Tulsa, Oklahoma",November,11
1801,2013-11-25,California,Oakland,96th Avenue and Olive Street,0,7,37.7488,-122.165,7,"96th Avenue and Olive Street, Oakland, California",November,11
1800,2013-11-25,Minnesota,Minneapolis,1611 E Lake St,1,3,44.9481,-93.2505,4,"1611 E Lake St, Minneapolis, Minnesota",November,11
1799,2013-11-28,New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,43.1595,-77.61,4,"St. Paul Boulevard and Andrews Street, Rochester, New York",November,11
1798,2013-11-29,California,Fresno,Oleander and Modoc,0,4,36.7297,-119.81,4,"Oleander and Modoc, Fresno, California",November,11
1797,2013-11-29,Indiana,Indianapolis,3400 block of East 34th Street,0,4,39.8182,-86.1082,4,"3400 block of East 34th Street, Indianapolis, Indiana",November,11
1796,2013-11-30,Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,30.8405,-83.2801,4,"Gordon Street and North Ashley Street, Valdosta, Georgia",November,11
1795,2013-12-01,Florida,Miami,NW 64th Street and 12th Avenue,2,2,25.8336,-80.2167,4,"NW 64th Street and 12th Avenue, Miami, Florida",December,12
1794,2013-12-01,Kansas,Topeka,1629 SW Central Park,4,0,39.0379,-95.6905,4,"1629 SW Central Park, Topeka, Kansas",December,12
1793,2013-12-07,Delaware,Wilmington,3421 Kirkwood Hwy,0,4,39.7361,-75.6309,4,"3421 Kirkwood Hwy, Wilmington, Delaware",December,12
1792,2013-12-14,North Carolina,Statesville,167 Wallace Springs,0,4,35.7603,-80.8937,4,"167 Wallace Springs, Statesville, North Carolina",December,12
1791,2013-12-15,Texas,Channelview,900 block of Ashland Boulevard,0,5,29.7908,-95.1355,5,"900 block of Ashland Boulevard, Channelview, Texas",December,12
1790,2013-12-15,Florida,Homestead (Florida City),7th Avenue and 13th Terrace,1,3,25.4631,-80.4572,4,"7th Avenue and 13th Terrace, Homestead (Florida City), Florida",December,12
1789,2013-12-21,New Jersey,Trenton,Jersey Street and Home Avenue,1,4,40.205,-74.7517,5,"Jersey Street and Home Avenue, Trenton, New Jersey",December,12
1788,2013-12-21,North Carolina,Shelby,Jose Street,0,4,35.2875,-81.546,4,"Jose Street, Shelby, North Carolina",December,12
1787,2013-12-22,Michigan,Muskegon,2300 block of W McMillan Rd,1,3,43.3115,-86.2997,4,"2300 block of W McMillan Rd, Muskegon, Michigan",December,12
1786,2013-12-25,New York,Medford,33A Cedarhurst Ave,1,3,40.8463,-72.9919,4,"33A Cedarhurst Ave, Medford, New York",December,12
1785,2013-12-25,New Jersey,Irvington,Nye Avenue and 21st Street,3,2,40.7217,-74.2217,5,"Nye Avenue and 21st Street, Irvington, New Jersey",December,12
1784,2013-12-26,Louisiana,Lockport,313 Tenth St,3,3,29.6456,-90.5388,6,"313 Tenth St, Lockport, Louisiana",December,12
1783,2013-12-26,Louisiana,Slidell,2144 First St,2,6,30.2743,-89.7826,8,"2144 First St, Slidell, Louisiana",December,12
1782,2013-12-28,Alabama,Montgomery,954 Highland Ave,3,5,32.3719,-86.2952,8,"954 Highland Ave, Montgomery, Alabama",December,12
1781,2013-12-31,Ohio,Barberton,300 block of Seventh Street Northeast,3,1,41.0186,-81.585,4,"300 block of Seventh Street Northeast, Barberton, Ohio",December,12
1780,2013-12-31,New York,Brooklyn,60 Glenmore Ave,0,6,40.6712,-73.9088,6,"60 Glenmore Ave, Brooklyn, New York",December,12
1779,2014-01-01,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,36.8508,-76.2859,4,"Rockingham Street and Berkley Avenue Extended, Norfolk, Virginia",January,1
1778,2014-01-01,Illinois,Chicago,100 block of West 105th St,0,4,41.7035,-87.6259,4,"100 block of West 105th St, Chicago, Illinois",January,1
1777,2014-01-01,Michigan,Detroit,12000 block of St. Patrick ,2,2,42.3484,-83.0597,4,"12000 block of St. Patrick , Detroit, Michigan",January,1
1776,2014-01-03,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,40.6775,-73.7629,4,"Farmers Boulevard and 133rd Avenue, Queens, New York",January,1
1775,2014-01-04,Illinois,Rock Falls,215 W 2nd St,2,2,41.781,-89.6937,4,"215 W 2nd St, Rock Falls, Illinois",January,1
1774,2014-01-04,Georgia,Atlanta,2025 Peachtree Road ,0,4,33.8099,-84.3911,4,"2025 Peachtree Road , Atlanta, Georgia",January,1
1773,2014-01-05,Ohio,Erie,829 Parade St.,1,3,40.0886,-82.9293,4,"829 Parade St., Erie, Ohio",January,1
1772,2014-01-05,Pennsylvania,Erie,829 Parade Street,1,3,42.1306,-80.0752,4,"829 Parade Street, Erie, Pennsylvania",January,1
1771,2014-01-11,Mississippi,Jackson,3430 W. Capitol Street,0,4,32.3236,-90.2287,4,"3430 W. Capitol Street, Jackson, Mississippi",January,1
1770,2014-01-11,Oregon,Portland,9950 SE Stark St,1,3,45.519,-122.561,4,"9950 SE Stark St, Portland, Oregon",January,1
1769,2014-01-12,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,32.3986,-91.1579,6,"3600 block of Highway 80 W, Tallulah, Louisiana",January,1
1768,2014-01-12,Illinois,Elgin,300 block of North Street,0,5,42.0401,-88.2802,5,"300 block of North Street, Elgin, Illinois",January,1
1767,2014-01-12,Alabama,Huntsville,University Drive,0,5,34.7371,-86.6524,5,"University Drive, Huntsville, Alabama",January,1
1766,2014-01-13,Michigan,Detroit,800 block of Calvert St,0,4,42.3872,-83.0922,4,"800 block of Calvert St, Detroit, Michigan",January,1
1765,2014-01-14,California,Los Angeles,West 86th Street,0,4,33.9593,-118.278,4,"West 86th Street, Los Angeles, California",January,1
1764,2014-01-15,South Carolina,Irmo,1 Forest Walk Court,4,0,34.0942,-81.1525,4,"1 Forest Walk Court, Irmo, South Carolina",January,1
1763,2014-01-16,California,Fresno,Shaw and Polk avenues,2,2,36.8081,-119.889,4,"Shaw and Polk avenues, Fresno, California",January,1
1762,2014-01-16,Utah,Spanish Fork,37 N. 630 West,5,0,40.1109,-111.665,5,"37 N. 630 West, Spanish Fork, Utah",January,1
1761,2014-01-17,California,San Bernardino,1100 block of North Wall Avenue ,2,2,34.1195,-117.281,4,"1100 block of North Wall Avenue , San Bernardino, California",January,1
1760,2014-01-17,Florida,Palm Beach,Doctor’s Choice Medical Center,3,1,26.7056,-80.0364,4,"Doctor’s Choice Medical Center, Palm Beach, Florida",January,1
1759,2014-01-19,Iowa,Des Moines,2100 block of East 13th St,0,4,41.6133,-93.6033,4,"2100 block of East 13th St, Des Moines, Iowa",January,1
1758,2014-01-20,Virginia,Manassas,8509 Rixlew Ln,0,4,38.7739,-77.5016,4,"8509 Rixlew Ln, Manassas, Virginia",January,1
1757,2014-01-21,New Jersey,Newark,Springfield Avenue ,2,3,40.7341,-74.1912,5,"Springfield Avenue , Newark, New Jersey",January,1
1756,2014-01-21,Georgia,Decatur,1900 Glenfair Rd,1,3,33.7336,-84.2303,4,"1900 Glenfair Rd, Decatur, Georgia",January,1
1755,2014-01-25,Maryland,Columbia,10300 Little Patuxent Parkway,3,1,39.2152,-76.8577,4,"10300 Little Patuxent Parkway, Columbia, Maryland",January,1
1754,2014-01-25,Florida,Belle Glade,600 block of Covenant Drive,0,4,26.6868,-80.6739,4,"600 block of Covenant Drive, Belle Glade, Florida",January,1
1753,2014-01-25,Illinois,Chicago,S. Union Av and W. 51st St,1,4,41.8016,-87.6429,5,"S. Union Av and W. 51st St, Chicago, Illinois",January,1
1752,2014-01-27,North Carolina,Rocky Mount,821 Word Plaza,0,4,35.9335,-77.8189,4,"821 Word Plaza, Rocky Mount, North Carolina",January,1
1751,2014-01-27,Washington,Seattle,2nd Avenue South and South Main Street,1,4,47.6,-122.332,5,"2nd Avenue South and South Main Street, Seattle, Washington",January,1
1750,2014-01-28,Wisconsin,Milwaukee,Locust and N. 28th St,0,5,43.0716,-87.9486,5,"Locust and N. 28th St, Milwaukee, Wisconsin",January,1
1749,2014-02-03,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,39.5021,-86.045,5,"2100 block of Bridlewood Dr, Franklin, Indiana",February,2
1748,2014-02-03,Texas,Cypress,14015 Fosters Creeks Drive,4,0,29.973,-95.6542,4,"14015 Fosters Creeks Drive, Cypress, Texas",February,2
1747,2014-02-05,Illinois,Chicago,6740 N Clark St,1,3,42.0038,-87.6727,4,"6740 N Clark St, Chicago, Illinois",February,2
1746,2014-02-05,Florida,Perry,South Byron Butler Parkway,1,3,30.0896,-83.5742,4,"South Byron Butler Parkway, Perry, Florida",February,2
1745,2014-02-06,Louisiana,New Orleans,4600 block of Downman Road,0,4,30.0164,-90.0218,4,"4600 block of Downman Road, New Orleans, Louisiana",February,2
1744,2014-02-07,Ohio,Defiance,25200 block of Bowman Road,4,0,41.2236,-84.339,4,"25200 block of Bowman Road, Defiance, Ohio",February,2
1743,2014-02-07,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,25.7806,-80.263,5,"Northwest 41st Street and 9th Avenue , Miami, Florida",February,2
1742,2014-02-08,Oklahoma,Oklahoma City,Northwest 13th Street and Wilburn Drive,0,4,35.4829,-97.6405,4,"Northwest 13th Street and Wilburn Drive, Oklahoma City, Oklahoma",February,2
1741,2014-02-12,California,Oakland,37th and International ,1,3,37.7752,-122.221,4,"37th and International , Oakland, California",February,2
1740,2014-02-12,California,Stockton,Constitution Park,1,3,37.9595,-121.277,4,"Constitution Park, Stockton, California",February,2
1739,2014-02-12,Indiana,Gary,2220 block of Broadway,0,5,41.5781,-87.3371,5,"2220 block of Broadway, Gary, Indiana",February,2
1738,2014-02-15,Florida,Fort Lauderdale,3033 Northeast 32 Avenue,0,6,26.1661,-80.1036,6,"3033 Northeast 32 Avenue, Fort Lauderdale, Florida",February,2
1737,2014-02-15,Nevada,Las Vegas,Sahara and Maryland ,0,5,36.1442,-115.137,5,"Sahara and Maryland , Las Vegas, Nevada",February,2
1736,2014-02-16,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,30.3085,-81.7133,5,"1187 S. Edgewood Ave., Jacksonville, Florida",February,2
1735,2014-02-16,Texas,Fort Worth, 115 NW 25th St.,1,4,32.7898,-97.3493,5," 115 NW 25th St., Fort Worth, Texas",February,2
1734,2014-02-16,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,41.0173,-85.1191,5,"Lafayette Street and East Tillman Road, Fort Wayne, Indiana",February,2
1733,2014-02-16,Florida,Orange County,4500 block of Riviera Shores ,1,6,28.5979,-81.2734,7,"4500 block of Riviera Shores , Orange County, Florida",February,2
1732,2014-02-16,Michigan,Saginaw,Federal Av,0,4,43.4306,-83.9316,4,"Federal Av, Saginaw, Michigan",February,2
1731,2014-02-16,Texas,Dallas,2600 block of South Harwood Street,1,7,32.7673,-96.779,8,"2600 block of South Harwood Street, Dallas, Texas",February,2
1730,2014-02-20,Indiana,Indianapolis,3400 block of South Parker,4,0,39.717,-86.1136,4,"3400 block of South Parker, Indianapolis, Indiana",February,2
1729,2014-02-20,California,Alturas,300 W 1st St,4,2,41.4838,-120.545,6,"300 W 1st St, Alturas, California",February,2
1728,2014-02-22,Tennessee,Memphis,4464 Stage Road,0,4,35.2062,-89.9146,4,"4464 Stage Road, Memphis, Tennessee",February,2
1727,2014-02-22,California,Wilmington,Papeete Street,0,4,33.7869,-118.278,4,"Papeete Street, Wilmington, California",February,2
1726,2014-02-22,California,Wilmington,1200 block of W Papeete St,0,4,33.7869,-118.278,4,"1200 block of W Papeete St, Wilmington, California",February,2
1725,2014-02-25,Virginia,Glade Spring,Graceland Lane,5,1,36.7843,-81.7848,6,"Graceland Lane, Glade Spring, Virginia",February,2
1724,2014-02-25,Florida,Miami,Northwest 66th Street and 13th Avenue ,0,4,25.835,-80.2188,4,"Northwest 66th Street and 13th Avenue , Miami, Florida",February,2
1723,2014-02-26,Illinois,Oak Lawn,9800 block of 51st Av,4,0,41.7142,-87.7481,4,"9800 block of 51st Av, Oak Lawn, Illinois",February,2
1722,2014-03-01,Michigan,Detroit,7800 Gratiot Av.,0,4,42.3781,-83.0151,4,"7800 Gratiot Av., Detroit, Michigan",March,3
1721,2014-03-01,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,40.4558,-79.9028,5,"Hamilton Avenue, Pittsburgh, Pennsylvania",March,3
1720,2014-03-02,Tennessee,Jackson,1963 US 45 Bypass,0,4,35.6614,-88.8551,4,"1963 US 45 Bypass, Jackson, Tennessee",March,3
1719,2014-03-05,South Carolina,Pelzer,Law Street,3,2,34.6391,-82.4525,5,"Law Street, Pelzer, South Carolina",March,3
1718,2014-03-05,Indiana,Indianapolis,South State Ave,1,4,39.7276,-86.1308,5,"South State Ave, Indianapolis, Indiana",March,3
1717,2014-03-08,New Jersey,Trenton,"900 block of Martin Luther King, Jr. Boulevard",1,3,40.2334,-74.7593,4,"900 block of Martin Luther King, Jr. Boulevard, Trenton, New Jersey",March,3
1716,2014-03-08,California,Richmond,1600 block of First Street,1,3,37.9563,-122.368,4,"1600 block of First Street, Richmond, California",March,3
1715,2014-03-08,Illinois,Chicago,4900 West Race Ave,0,6,41.8907,-87.7483,6,"4900 West Race Ave, Chicago, Illinois",March,3
